12:22:50,735 INFO SeBS-06a7: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/python/non-instrumented/501.graph-pagerank
12:22:51,100 INFO OpenWhisk.Resources-0e1a: Using user-provided configuration of storage for OpenWhisk.
12:22:51,100 INFO OpenWhisk-63c3: Using existing resource name: 8504288e.
12:22:51,102 INFO Benchmark-4749: Building benchmark 501.graph-pagerank. Reason: no cached code package.
12:22:51,103 INFO Benchmark-4749: There is no Docker build image for openwhisk run in python, thus skipping the Docker-based installation of dependencies.
12:22:51,104 INFO OpenWhisk-63c3: Build the benchmark base image andersnou/msc-thesis:function.openwhisk.501.graph-pagerank.python-3.7.
12:22:51,602 INFO OpenWhisk-63c3: Push the benchmark base image andersnou/msc-thesis:function.openwhisk.501.graph-pagerank.python-3.7 to registry: Docker Hub.
12:22:53,81 INFO OpenWhisk-63c3: Created /home/anou/msc-thesis/task-based-experiment/experiment-results/python/non-instrumented/501.graph-pagerank/501.graph-pagerank_code/python/3.7/501.graph-pagerank.zip archive
12:22:53,81 INFO OpenWhisk-63c3: Zip archive size 0.000734 MB
12:22:53,82 INFO Benchmark-4749: Created code package (source hash: db36ee4d180eb66ddde7f92db0d144e9), for run on openwhisk with python:3.7
12:22:53,84 INFO OpenWhisk-63c3: Creating new function! Reason: function 501.graph-pagerank-python-3.7 not found in cache.
12:22:53,84 INFO OpenWhisk-63c3: Creating function as an action in OpenWhisk.
12:22:53,250 INFO OpenWhisk-63c3: Creating new OpenWhisk action 501.graph-pagerank-python-3.7
12:22:53,548 INFO Experiment.PerfCost-4939: Begin experiment on memory size 512
12:22:53,548 INFO OpenWhisk-63c3: Update an existing OpenWhisk action 501.graph-pagerank-python-3.7.
12:22:53,766 INFO Experiment.PerfCost-4939: Begin warm experiments
12:23:05,640 INFO Experiment.PerfCost-4939: Processed 0 warm-up samples, ignoring these results.
12:23:15,738 INFO Experiment.PerfCost-4939: Processed 10 samples out of 10000, 0 errors
12:23:25,826 INFO Experiment.PerfCost-4939: Processed 20 samples out of 10000, 0 errors
12:23:35,926 INFO Experiment.PerfCost-4939: Processed 30 samples out of 10000, 0 errors
12:23:46,16 INFO Experiment.PerfCost-4939: Processed 40 samples out of 10000, 0 errors
12:23:56,114 INFO Experiment.PerfCost-4939: Processed 50 samples out of 10000, 0 errors
12:24:06,204 INFO Experiment.PerfCost-4939: Processed 60 samples out of 10000, 0 errors
12:24:16,291 INFO Experiment.PerfCost-4939: Processed 70 samples out of 10000, 0 errors
12:24:26,382 INFO Experiment.PerfCost-4939: Processed 80 samples out of 10000, 0 errors
12:24:36,478 INFO Experiment.PerfCost-4939: Processed 90 samples out of 10000, 0 errors
12:24:46,563 INFO Experiment.PerfCost-4939: Processed 100 samples out of 10000, 0 errors
12:24:56,651 INFO Experiment.PerfCost-4939: Processed 110 samples out of 10000, 0 errors
12:25:06,737 INFO Experiment.PerfCost-4939: Processed 120 samples out of 10000, 0 errors
12:25:16,830 INFO Experiment.PerfCost-4939: Processed 130 samples out of 10000, 0 errors
12:25:26,942 INFO Experiment.PerfCost-4939: Processed 140 samples out of 10000, 0 errors
12:25:37,43 INFO Experiment.PerfCost-4939: Processed 150 samples out of 10000, 0 errors
12:25:47,142 INFO Experiment.PerfCost-4939: Processed 160 samples out of 10000, 0 errors
12:25:57,240 INFO Experiment.PerfCost-4939: Processed 170 samples out of 10000, 0 errors
12:26:07,332 INFO Experiment.PerfCost-4939: Processed 180 samples out of 10000, 0 errors
12:26:17,423 INFO Experiment.PerfCost-4939: Processed 190 samples out of 10000, 0 errors
12:26:27,515 INFO Experiment.PerfCost-4939: Processed 200 samples out of 10000, 0 errors
12:26:37,595 INFO Experiment.PerfCost-4939: Processed 210 samples out of 10000, 0 errors
12:26:47,685 INFO Experiment.PerfCost-4939: Processed 220 samples out of 10000, 0 errors
12:26:57,764 INFO Experiment.PerfCost-4939: Processed 230 samples out of 10000, 0 errors
12:27:07,856 INFO Experiment.PerfCost-4939: Processed 240 samples out of 10000, 0 errors
12:27:17,948 INFO Experiment.PerfCost-4939: Processed 250 samples out of 10000, 0 errors
12:27:28,47 INFO Experiment.PerfCost-4939: Processed 260 samples out of 10000, 0 errors
12:27:38,148 INFO Experiment.PerfCost-4939: Processed 270 samples out of 10000, 0 errors
12:27:48,233 INFO Experiment.PerfCost-4939: Processed 280 samples out of 10000, 0 errors
12:27:58,322 INFO Experiment.PerfCost-4939: Processed 290 samples out of 10000, 0 errors
12:28:08,473 INFO Experiment.PerfCost-4939: Processed 300 samples out of 10000, 0 errors
12:28:18,565 INFO Experiment.PerfCost-4939: Processed 310 samples out of 10000, 0 errors
12:28:28,658 INFO Experiment.PerfCost-4939: Processed 320 samples out of 10000, 0 errors
12:28:38,755 INFO Experiment.PerfCost-4939: Processed 330 samples out of 10000, 0 errors
12:28:48,859 INFO Experiment.PerfCost-4939: Processed 340 samples out of 10000, 0 errors
12:28:58,953 INFO Experiment.PerfCost-4939: Processed 350 samples out of 10000, 0 errors
